10440022,2902,1.636,-65.58,4.782,-81.5
10440042,2913,1.638,-66.47,4.782,-81
10440062,2925,1.63,-67.56,4.782,-82
10440082,2936,1.627,-67.68,4.782,-81
10440102,2959,1.626,-68.61,4.782,-82
10440122,2970,1.626,-69.07,4.782,-82
10440142,2982,1.627,-69.62,4.782,-81.5
10440162,2994,1.622,-70.19,4.782,-82
10440182,3008,1.625,-70.9,4.782,-81.5
10440202,3031,1.623,-71.47,4.782,-82
10440222,3043,1.627,-71.86,4.782,-81.5
10440242,3055,1.629,-72.51,4.801,-82
10440262,3067,1.63,-72.94,4.801,-82
10440282,3080,1.626,-73.71,4.801,-81.5
10440302,3094,1.628,-74.29,4.801,-82
10440322,3080,1.635,-74.79,4.801,-81.5
10440342,3062,1.637,-75.81,4.801,-82
10440362,3052,1.637,-76.68,4.782,-82
10440382,3055,1.644,-77.18,4.782,-81.5
10440402,3063,1.636,-77.71,4.782,-81.5
10440422,3071,1.631,-77.67,4.782,-82
10440442,3093,1.636,-78.83,4.782,-82
10440462,3104,1.644,-79.32,4.782,-82
10440482,3113,1.644,-79.71,4.785,-82
10440502,3121,1.644,-80.22,4.785,-82
10440522,3137,1.645,-80.53,4.785,-82
10440542,3145,1.654,-80.62,4.785,-82
10440562,3152,1.651,-80.58,4.785,-82
10440582,3159,1.65,-80.75,4.785,-82
10440602,3172,1.652,-80.64,4.782,-82
10440622,3178,1.649,-80.72,4.782,-82
10440642,3184,1.659,-80.69,4.782,-82.5
10440662,3193,1.658,-80.68,4.782,-82.5
10440682,3197,1.66,-80.61,4.782,-82.5
10440702,3201,1.671,-80.6,4.782,-83.5
10440722,3206,1.667,-80.37,4.782,-82
10440742,3213,1.665,-80.31,4.782,-83
10440762,3216,1.653,-80.24,4.782,-82
10440782,3218,1.65,-80.11,4.782,-82.5
10440802,3221,1.649,-79.79,4.782,-82.5
10440822,3225,1.647,-79.47,4.782,-83
10440842,3227,1.652,-79.03,4.776,-82.5
10440862,3228,1.655,-78.78,4.776,-82.5
10440882,3229,1.66,-78.81,4.776,-82.5
10440902,3229,1.664,-78.74,4.776,-82.5
10440922,3230,1.667,-78.94,4.776,-83
10440942,3230,1.671,-79.07,4.776,-83
10440962,3230,1.676,-78.86,4.782,-83
10440982,3230,1.681,-78.57,4.782,-83
10441002,3230,1.682,-78.33,4.782,-82.5
10441022,3230,1.683,-78.06,4.782,-83
10441042,3229,1.682,-77.61,4.782,-83
10441062,3228,1.672,-77.43,4.782,-83
10441082,3228,1.669,-77.29,4.798,-82.5
10441102,3228,1.663,-76.96,4.798,-82.5
10441122,3228,1.658,-76.78,4.798,-82.5
10441142,3226,1.652,-76.61,4.798,-82.5
10441162,3225,1.644,-76.46,4.798,-82.5
10441182,3223,1.65,-76.26,4.798,-82.5
10441202,3221,1.651,-76.4,4.776,-82
10441222,3217,1.651,-76.33,4.776,-83.5
10441242,3216,1.647,-76.65,4.776,-82.5
10441262,3214,1.65,-76.54,4.776,-82.5
10441282,3212,1.645,-76.68,4.776,-82.5
10441302,3208,1.661,-76.68,4.776,-83.5
